86	0	0	0	600	0	0	-1	3	5
87	0	0	0	600	0	0	-1	3	5
88	0	0	0	600	0	0	-1	3	5
89	0	0	0	600	0	0	-1	3	5
90	0	0	0	600	0	0	-1	3	5
91	0	0	0	600	0	0	-1	3	5
92	0	0	0	600	0	0	-1	3	5
93	0	0	0	600	0	0	-1	3	5
94	0	0	0	600	0	0	-1	3	5
95	0	0	0	600	0	0	-1	3	5
96	0	0	0	600	0	0	-1	3	5
97	0	0	0	600	0	0	-1	3	5
98	0	0	0	600	0	0	-1	3	5
99	0	0	0	600	0	0	-1	3	5
100	0	0	0	600	0	0	-1	3	5
101	0	0	0	600	0	0	-1	3	5
102	0	0	0	600	0	0	-1	3	5
103	0	0	0	600	0	0	-1	3	5
104	0	0	0	600	0	0	-1	3	5
105	0	0	0	600	0	0	-1	3	5
106	0	0	0	600	0	0	-1	3	5
107	0	0	0	600	0	0	-1	3	5
108	0	0	0	600	0	0	-1	3	5
109	0	0	0	600	0	0	-1	3	5
110	0	0	0	600	0	0	-1	3	5
111	0	0	0	600	0	0	-1	3	5
112	0	0	0	600	0	0	-1	3	5
113	0	0	0	600	0	0	-1	3	5
114	0	0	0	600	0	0	-1	3	5
115	0	0	0	600	0	0	-1	3	5
116	0	0	0	600	0	0	-1	3	5
117	0	0	0	600	0	0	-1	3	5
118	0	0	0	600	0	0	-1	3	5
119	0	0	0	600	0	0	-1	3	5
120	0	0	0	600	0	0	-1	3	5
121	0	0	0	600	0	0	-1	3	5
122	0	0	0	600	0	0	-1	3	5
123	0	0	0	600	0	0	-1	3	5
124	0	0	0	600	0	0	-1	3	5
125	0	0	0	600	0	0	-1	3	5
126	0	0	0	600	0	0	-1	3	5
127	0	0	0	600	0	0	-1	3	5
128	0	0	0	600	0	0	-1	3	5
129	0	0	0	600	0	0	-1	3	5
130	0	0	0	600	0	0	-1	3	5
131	0	0	0	600	0	0	-1	3	5
132	0	0	0	600	0	0	-1	3	5
133	0	0	0	600	0	0	-1	3	5
134	0	0	0	600	0	0	-1	3	5
135	0	0	0	600	0	0	-1	3	5
136	0	0	0	600	0	0	-1	3	5
137	0	0	0	600	0	0	-1	3	5
138	0	0	0	600	0	0	-1	3	5
139	0	0	0	600	0	0	-1	3	5
140	0	0	0	600	0	0	-1	3	5
141	0	0	0	600	0	0	-1	3	5
142	0	0	0	600	0	0	-1	3	5
143	0	0	0	600	0	0	-1	3	5
144	0	0	0	600	0	0	-1	3	5
145	0	0	0	600	0	0	-1	3	5
146	0	0	0	600	0	0	-1	3	5
147	0	0	0	600	0	0	-1	3	5
148	0	0	0	600	0	0	-1	3	5
149	0	0	0	600	0	0	-1	3	5
150	0	0	0	600	0	0	-1	3	5
151	0	0	0	600	0	0	-1	3	5
152	0	0	0	600	0	0	-1	3	5
153	0	0	0	600	0	0	-1	3	5
154	0	0	0	600	0	0	-1	3	5
155	0	0	0	600	0	0	-1	3	5
156	0	0	0	600	0	0	-1	3	5
157	0	0	0	600	0	0	-1	3	5
158	0	0	0	600	0	0	-1	3	5
159	0	0	0	600	0	0	-1	3	5
160	0	0	0	600	0	0	-1	3	5
161	0	0	0	600	0	0	-1	3	5
162	0	0	0	600	0	0	-1	3	5
163	0	0	0	600	0	0	-1	3	5
164	0	0	0	600	0	0	-1	3	5
165	0	0	0	600	0	0	-1	3	5
166	0	0	0	600	0	0	-1	3	5
167	0	0	0	600	0	0	-1	3	5
168	0	0	0	600	0	0	-1	3	5
169	0	0	0	600	0	0	-1	3	5
170	0	0	0	600	0	0	-1	3	5
171	0	0	0	600	0	0	-1	3	5
172	0	0	0	600	0	0	-1	3	5
173	0	0	0	600	0	0	-1	3	5
174	0	0	0	600	0	0	-1	3	5
175	0	0	0	600	0	0	-1	3	5
176	0	0	0	600	0	0	-1	3	5
177	0	0	0	600	0	0	-1	3	5
178	0	0	0	600	0	0	-1	3	5
179	0	0	0	600	0	0	-1	3	5
180	0	0	0	600	0	0	-1	3	5
181	0	0	0	600	0	0	-1	3	5
182	0	0	0	600	0	0	-1	3	5
183	0	0	0	600	0	0	-1	3	5
184	0	0	0	600	0	0	-1	3	5
185	0	0	0	600	0	0	-1	3	5
186	0	0	0	600	0	0	-1	3	5
187	0	0	0	600	0	0	-1	3	5
188	0	0	0	600	0	0	-1	3	5
189	0	0	0	600	0	0	-1	3	5
190	0	0	0	600	0	0	-1	3	5
191	0	0	0	600	0	0	-1	3	5
192	0	0	0	600	0	0	-1	3	5
193	0	0	0	600	0	0	-1	3	5
194	0	0	0	600	0	0	-1	3	5
195	0	0	0	600	0	0	-1	3	5
196	0	0	0	600	0	0	-1	3	5
197	0	0	0	600	0	0	-1	3	5
198	0	0	0	600	0	0	-1	3	5
199	0	0	0	600	0	0	-1	3	5
200	0	0	0	600	0	0	-1	3	5
201	0	0	0	600	0	0	-1	3	5
202	0	0	0	600	0	0	-1	3	5
203	0	0	0	600	0	0	-1	3	5
204	0	0	0	600	0	0	-1	3	5
205	0	0	0	600	0	0	-1	3	5
206	0	0	0	600	0	0	-1	3	5
207	0	0	0	600	0	0	-1	3	5
208	0	0	0	600	0	0	-1	3	5
209	0	0	0	600	0	0	-1	3	5
210	0	0	0	600	0	0	-1	3	5
211	0	0	0	600	0	0	-1	3	5
212	0	0	0	600	0	0	-1	3	5
213	0	0	0	600	0	0	-1	3	5
214	0	0	0	600	0	0	-1	3	5
215	0	0	0	600	0	0	-1	3	5
216	0	0	0	600	0	0	-1	3	5
217	0	0	0	600	0	0	-1	3	5
218	0	0	0	600	0	0	-1	3	5
219	0	0	0	600	0	0	-1	3	5
220	0	0	0	600	0	0	-1	3	5
221	0	0	0	600	0	0	-1	3	5
222	0	0	0	600	0	0	-1	3	5
223	0	0	0	600	0	0	-1	3	5
224	0	0	0	600	0	0	-1	3	5
225	0	0	0	600	0	0	-1	3	5
226	0	0	0	600	0	0	-1	3	5
227	0	0	0	600	0	0	-1	3	5
228	0	0	0	600	0	0	-1	3	5
229	0	0	0	600	0	0	-1	3	5
230	0	0	0	600	0	0	-1	3	5
231	0	0	0	600	0	0	-1	3	5
232	0	0	0	600	0	0	-1	3	5
233	0	0	0	600	0	0	-1	3	5
234	0	0	0	600	0	0	-1	3	5
235	0	0	0	600	0	0	-1	3	5
236	0	0	0	600	0	0	-1	3	5
237	0	0	0	600	0	0	-1	3	5
238	0	0	0	600	0	0	-1	3	5
239	0	0	0	600	0	0	-1	3	5
240	0	0	0	600	0	0	-1	3	5
241	0	0	0	600	0	0	-1	3	5
242	0	0	0	600	0	0	-1	3	5
243	0	0	0	600	0	0	-1	3	5
244	0	0	0	600	0	0	-1	3	5
245	0	0	0	600	0	0	-1	3	5
246	0	0	0	600	0	0	-1	3	5
247	0	0	0	600	0	0	-1	3	5
248	0	0	0	600	0	0	-1	3	5
249	0	0	0	600	0	0	-1	3	5
250	0	0	0	600	0	0	-1	3	5
251	0	0	0	600	0	0	-1	3	5
252	0	0	0	600	0	0	-1	3	5
253	0	0	0	600	0	0	-1	3	5
254	0	0	0	600	0	0	-1	3	5
255	0	0	0	600	0	0	-1	3	5
256	0	0	0	600	0	0	-1	3	5
257	0	0	0	600	0	0	-1	3	5
258	0	0	0	600	0	0	-1	3	5
259	0	0	0	600	0	0	-1	3	5
260	0	0	0	600	0	0	-1	3	5
261	0	0	0	600	0	0	-1	3	5
262	0	0	0	600	0	0	-1	3	5
263	0	0	0	600	0	0	-1	3	5
264	0	0	0	600	0	0	-1	3	5
265	0	0	0	600	0	0	-1	3	5
266	0	0	0	600	0	0	-1	3	5
267	0	0	0	600	0	0	-1	3	5
268	0	0	0	600	0	0	-1	3	5
269	0	0	0	600	0	0	-1	3	5
270	0	0	0	600	0	0	-1	3	5
271	0	0	0	600	0	0	-1	3	5
272	0	0	0	600	0	0	-1	3	5
273	0	0	0	600	0	0	-1	3	5
274	0	0	0	600	0	0	-1	3	5
275	0	0	0	600	0	0	-1	3	5
276	0	0	0	600	0	0	-1	3	5
277	0	0	0	600	0	0	-1	3	5
278	0	0	0	600	0	0	-1	3	5
279	0	0	0	600	0	0	-1	3	5
280	0	0	0	600	0	0	-1	3	5
281	0	0	0	600	0	0	-1	3	5
282	0	0	0	600	0	0	-1	3	5
283	0	0	0	600	0	0	-1	3	5
284	0	0	0	600	0	0	-1	3	5
285	0	0	0	600	0	0	-1	3	5
286	0	0	0	600	0	0	-1	3	5
287	0	0	0	600	0	0	-1	3	5
288	0	0	0	600	0	0	-1	3	5
289	0	0	0	600	0	0	-1	3	5
290	0	0	0	600	0	0	-1	3	5
291	0	0	0	600	0	0	-1	3	5
292	0	0	0	600	0	0	-1	3	5
293	0	0	0	600	0	0	-1	3	5
294	0	0	0	600	0	0	-1	3	5
295	0	0	0	600	0	0	-1	3	5
296	0	0	0	600	0	0	-1	3	5
297	0	0	0	600	0	0	-1	3	5
298	0	0	0	600	0	0	-1	3	5
299	0	0	0	600	0	0	-1	3	5
300	0	0	0	600	0	0	-1	3	5
301	0	0	0	600	0	0	-1	3	5
302	0	0	0	600	0	0	-1	3	5
303	0	0	0	600	0	0	-1	3	5
304	0	0	0	600	0	0	-1	3	5
305	0	0	0	600	0	0	-1	3	5
306	0	0	0	600	0	0	-1	3	5
307	0	0	0	600	0	0	-1	3	5
308	0	0	0	600	0	0	-1	3	5
309	0	0	0	600	0	0	-1	3	5
310	0	0	0	600	0	0	-1	3	5
311	0	0	0	600	0	0	-1	3	5
312	0	0	0	600	0	0	-1	3	5
313	0	0	0	600	0	0	-1	3	5
314	0	0	0	600	0	0	-1	3	5
315	0	0	0	600	0	0	-1	3	5
316	0	0	0	600	0	0	-1	3	5
317	0	0	0	600	0	0	-1	3	5
318	0	0	0	600	0	0	-1	3	5
319	0	0	0	600	0	0	-1	3	5
320	0	0	0	600	0	0	-1	3	5
321	0	0	0	600	0	0	-1	3	5
322	0	0	0	600	0	0	-1	3	5
323	0	0	0	600	0	0	-1	3	5
324	0	0	0	600	0	0	-1	3	5
325	0	0	0	600	0	0	-1	3	5
326	0	0	0	600	0	0	-1	3	5
327	0	0	0	600	0	0	-1	3	5
328	0	0	0	600	0	0	-1	3	5
329	0	0	0	600	0	0	-1	3	5
330	0	0	0	600	0	0	-1	3	5
331	0	0	0	600	0	0	-1	3	5
332	0	0	0	600	0	0	-1	3	5
333	0	0	0	600	0	0	-1	3	5
334	0	0	0	600	0	0	-1	3	5
335	0	0	0	600	0	0	-1	3	5
336	0	0	0	600	0	0	-1	3	5
337	0	0	0	600	0	0	-1	3	5
338	0	0	0	600	0	0	-1	3	5
339	0	0	0	600	0	0	-1	3	5
340	0	0	0	600	0	0	-1	3	5
341	0	0	0	600	0	0	-1	3	5
342	0	0	0	600	0	0	-1	3	5
343	0	0	0	600	0	0	-1	3	5
344	0	0	0	600	0	0	-1	3	5
345	0	0	0	600	0	0	-1	3	5
346	0	0	0	600	0	0	-1	3	5
347	0	0	0	600	0	0	-1	3	5
348	0	0	0	600	0	0	-1	3	5
349	0	0	0	600	0	0	-1	3	5
350	0	0	0	600	0	0	-1	3	5
351	0	0	0	600	0	0	-1	3	5
352	0	0	0	600	0	0	-1	3	5
353	0	0	0	600	0	0	-1	3	5
354	0	0	0	600	0	0	-1	3	5
355	0	0	0	600	0	0	-1	3	5
356	0	0	0	600	0	0	-1	3	5
357	0	0	0	600	0	0	-1	3	5
358	0	0	0	600	0	0	-1	3	5
359	0	0	0	600	0	0	-1	3	5
360	0	0	0	600	0	0	-1	3	5
361	0	0	0	600	0	0	-1	3	5
362	0	0	0	600	0	0	-1	3	5
363	0	0	0	600	0	0	-1	3	5
364	0	0	0	600	0	0	-1	3	5
365	0	0	0	600	0	0	-1	3	5
366	0	0	0	600	0	0	-1	3	5
367	0	0	0	600	0	0	-1	3	5
368	0	0	0	600	0	0	-1	3	5
369	0	0	0	600	0	0	-1	3	5
370	0	0	0	600	0	0	-1	3	5
371	0	0	0	600	0	0	-1	3	5
372	0	0	0	600	0	0	-1	3	5
373	0	0	0	600	0	0	-1	3	5
374	0	0	0	600	0	0	-1	3	5
375	0	0	0	600	0	0	-1	3	5
376	0	0	0	600	0	0	-1	3	5
377	0	0	0	600	0	0	-1	3	5
378	0	0	0	600	0	0	-1	3	5
379	0	0	0	600	0	0	-1	3	5
380	0	0	0	600	0	0	-1	3	5
381	0	0	0	600	0	0	-1	3	5
382	0	0	0	600	0	0	-1	3	5
383	0	0	0	600	0	0	-1	3	5
384	0	0	0	600	0	0	-1	3	5
385	0	0	0	600	0	0	-1	3	5
386	0	0	0	600	0	0	-1	3	5
387	0	0	0	600	0	0	-1	3	5
388	0	0	0	600	0	0	-1	3	5
389	0	0	0	600	0	0	-1	3	5
390	0	0	0	600	0	0	-1	3	5
391	0	0	0	600	0	0	-1	3	5
392	0	0	0	600	0	0	-1	3	5
393	0	0	0	600	0	0	-1	3	5
394	0	0	0	600	0	0	-1	3	5
395	0	0	0	600	0	0	-1	3	5
396	0	0	0	600	0	0	-1	3	5
397	0	0	0	600	0	0	-1	3	5
398	0	0	0	600	0	0	-1	3	5
399	0	0	0	600	0	0	-1	3	5
400	0	0	0	600	0	0	-1	3	5
401	0	0	0	600	0	0	-1	3	5
402	0	0	0	600	0	0	-1	3	5
403	0	0	0	600	0	0	-1	3	5
404	0	0	0	600	0	0	-1	3	5
405	0	0	0	600	0	0	-1	3	5
406	0	0	0	600	0	0	-1	3	5
407	0	0	0	600	0	0	-1	3	5
408	0	0	0	600	0	0	-1	3	5
409	0	0	0	600	0	0	-1	3	5
410	0	0	0	600	0	0	-1	3	5
411	0	0	0	600	0	0	-1	3	5
412	0	0	0	600	0	0	-1	3	5
413	0	0	0	600	0	0	-1	3	5
414	0	0	0	600	0	0	-1	3	5
415	0	0	0	600	0	0	-1	3	5
416	0	0	0	600	0	0	-1	3	5
417	0	0	0	600	0	0	-1	3	5
418	0	0	0	600	0	0	-1	3	5
419	0	0	0	600	0	0	-1	3	5
420	0	0	0	600	0	0	-1	3	5
421	0	0	0	600	0	0	-1	3	5
422	0	0	0	600	0	0	-1	3	5
423	0	0	0	600	0	0	-1	3	5
424	0	0	0	600	0	0	-1	3	5
425	0	0	0	600	0	0	-1	3	5
426	0	0	0	600	0	0	-1	3	5
427	0	0	0	600	0	0	-1	3	5
428	0	0	0	600	0	0	-1	3	5
429	0	0	0	600	0	0	-1	3	5
430	0	0	0	600	0	0	-1	3	5
431	0	0	0	600	0	0	-1	3	5
432	0	0	0	600	0	0	-1	3	5
433	0	0	0	600	0	0	-1	3	5
434	0	0	0	600	0	0	-1	3	5
435	0	0	0	600	0	0	-1	3	5
436	0	0	0	600	0	0	-1	3	5
437	0	0	0	600	0	0	-1	3	5
438	0	0	0	600	0	0	-1	3	5
439	0	0	0	600	0	0	-1	3	5
440	0	0	0	600	0	0	-1	3	5
441	0	0	0	600	0	0	-1	3	5
442	0	0	0	600	0	0	-1	3	5
443	0	0	0	600	0	0	-1	3	5
444	0	0	0	600	0	0	-1	3	5
445	0	0	0	600	0	0	-1	3	5
446	0	0	0	600	0	0	-1	3	5
447	0	0	0	600	0	0	-1	3	5
448	0	0	0	600	0	0	-1	3	5
449	0	0	0	600	0	0	-1	3	5
450	0	0	0	600	0	0	-1	3	5
451	0	0	0	600	0	0	-1	3	5
452	0	0	0	600	0	0	-1	3	5
453	0	0	0	600	0	0	-1	3	5
454	0	0	0	600	0	0	-1	3	5
455	0	0	0	600	0	0	-1	3	5
456	0	0	0	600	0	0	-1	3	5
457	0	0	0	600	0	0	-1	3	5
458	0	0	0	600	0	0	-1	3	5
459	0	0	0	600	0	0	-1	3	5
460	0	0	0	600	0	0	-1	3	5
461	0	0	0	600	0	0	-1	3	5
462	0	0	0	600	0	0	-1	3	5
463	0	0	0	600	0	0	-1	3	5
464	0	0	0	600	0	0	-1	3	5
465	0	0	0	600	0	0	-1	3	5
466	0	0	0	600	0	0	-1	3	5
467	0	0	0	600	0	0	-1	3	5
468	0	0	0	600	0	0	-1	3	5
469	0	0	0	600	0	0	-1	3	5
470	0	0	0	600	0	0	-1	3	5
471	0	0	0	600	0	0	-1	3	5
472	0	0	0	600	0	0	-1	3	5
473	0	0	0	600	0	0	-1	3	5
474	0	0	0	600	0	0	-1	3	5
475	0	0	0	600	0	0	-1	3	5
476	0	0	0	600	0	0	-1	3	5
477	0	0	0	600	0	0	-1	3	5
478	0	0	0	600	0	0	-1	3	5
479	0	0	0	600	0	0	-1	3	5
480	0	0	0	600	0	0	-1	3	5
481	0	0	0	600	0	0	-1	3	5
482	0	0	0	600	0	0	-1	3	5
483	0	0	0	600	0	0	-1	3	5
484	0	0	0	600	0	0	-1	3	5
485	0	0	0	600	0	0	-1	3	5
486	0	0	0	600	0	0	-1	3	5
487	0	0	0	600	0	0	-1	3	5
488	0	0	0	600	0	0	-1	3	5
489	0	0	0	600	0	0	-1	3	5
490	0	0	0	600	0	0	-1	3	5
491	0	0	0	600	0	0	-1	3	5
492	0	0	0	600	0	0	-1	3	5
493	0	0	0	600	0	0	-1	3	5
494	0	0	0	600	0	0	-1	3	5
495	0	0	0	600	0	0	-1	3	5
496	0	0	0	600	0	0	-1	3	5
497	0	0	0	600	0	0	-1	3	5
498	0	0	0	600	0	0	-1	3	5
499	0	0	0	600	0	0	-1	3	5
500	0	0	0	600	0	0	-1	3	5
501	0	0	0	600	0	0	-1	3	5
502	0	0	0	600	0	0	-1	3	5
503	0	0	0	600	0	0	-1	3	5
504	0	0	0	600	0	0	-1	3	5
505	0	0	0	600	0	0	-1	3	5
506	0	0	0	600	0	0	-1	3	5
507	0	0	0	600	0	0	-1	3	5
508	0	0	0	600	0	0	-1	3	5
509	0	0	0	600	0	0	-1	3	5
510	0	0	0	600	0	0	-1	3	5
511	0	0	0	600	0	0	-1	3	5
512	0	0	0	600	0	0	-1	3	5
513	0	0	0	600	0	0	-1	3	5
514	0	0	0	600	0	0	-1	3	5
515	0	0	0	600	0	0	-1	3	5
516	0	0	0	600	0	0	-1	3	5
517	0	0	0	600	0	0	-1	3	5
518	0	0	0	600	0	0	-1	3	5
519	0	0	0	600	0	0	-1	3	5
520	0	0	0	600	0	0	-1	3	5
521	0	0	0	600	0	0	-1	3	5
522	0	0	0	600	0	0	-1	3	5
523	0	0	0	600	0	0	-1	3	5
524	0	0	0	600	0	0	-1	3	5
525	0	0	0	600	0	0	-1	3	5
526	0	0	0	600	0	0	-1	3	5
527	0	0	0	600	0	0	-1	3	5
528	0	0	0	600	0	0	-1	3	5
529	0	0	0	600	0	0	-1	3	5
530	0	0	0	600	0	0	-1	3	5
531	0	0	0	600	0	0	-1	3	5
532	0	0	0	600	0	0	-1	3	5
533	0	0	0	600	0	0	-1	3	5
534	0	0	0	600	0	0	-1	3	5
535	0	0	0	600	0	0	-1	3	5
536	0	0	0	600	0	0	-1	3	5
537	0	0	0	600	0	0	-1	3	5
538	0	0	0	600	0	0	-1	3	5
539	0	0	0	600	0	0	-1	3	5
540	0	0	0	600	0	0	-1	3	5
541	0	0	0	600	0	0	-1	3	5
542	0	0	0	600	0	0	-1	3	5
543	0	0	0	600	0	0	-1	3	5
544	0	0	0	600	0	0	-1	3	5
545	0	0	0	600	0	0	-1	3	5
546	0	0	0	600	0	0	-1	3	5
547	0	0	0	600	0	0	-1	3	5
548	0	0	0	600	0	0	-1	3	5
549	0	0	0	600	0	0	-1	3	5
550	0	0	0	600	0	0	-1	3	5
551	0	0	0	600	0	0	-1	3	5
552	0	0	0	600	0	0	-1	3	5
553	0	0	0	600	0	0	-1	3	5
554	0	0	0	600	0	0	-1	3	5
555	0	0	0	600	0	0	-1	3	5
556	0	0	0	600	0	0	-1	3	5
557	0	0	0	600	0	0	-1	3	5
558	0	0	0	600	0	0	-1	3	5
559	0	0	0	600	0	0	-1	3	5
560	0	0	0	600	0	0	-1	3	5
561	0	0	0	600	0	0	-1	3	5
562	0	0	0	600	0	0	-1	3	5
563	0	0	0	600	0	0	-1	3	5
564	0	0	0	600	0	0	-1	3	5
565	0	0	0	600	0	0	-1	3	5
566	0	0	0	600	0	0	-1	3	5
567	0	0	0	600	0	0	-1	3	5
568	0	0	0	600	0	0	-1	3	5
569	0	0	0	600	0	0	-1	3	5
570	0	0	0	600	0	0	-1	3	5
571	0	0	0	600	0	0	-1	3	5
572	0	0	0	600	0	0	-1	3	5
573	0	0	0	600	0	0	-1	3	5
574	0	0	0	600	0	0	-1	3	5
575	0	0	0	600	0	0	-1	3	5
576	0	0	0	600	0	0	-1	3	5
577	0	0	0	600	0	0	-1	3	5
578	0	0	0	600	0	0	-1	3	5
579	0	0	0	600	0	0	-1	3	5
580	0	0	0	600	0	0	-1	3	5
581	0	0	0	600	0	0	-1	3	5
582	0	0	0	600	0	0	-1	3	5
583	0	0	0	600	0	0	-1	3	5
584	0	0	0	600	0	0	-1	3	5
585	0	0	0	600	0	0	-1	3	5
586	0	0	0	600	0	0	-1	3	5
587	0	0	0	600	0	0	-1	3	5
588	0	0	0	600	0	0	-1	3	5
589	0	0	0	600	0	0	-1	3	5
590	0	0	0	600	0	0	-1	3	5
591	0	0	0	600	0	0	-1	3	5
592	0	0	0	600	0	0	-1	3	5
593	0	0	0	600	0	0	-1	3	5
594	0	0	0	600	0	0	-1	3	5
595	0	0	0	600	0	0	-1	3	5
596	0	0	0	600	0	0	-1	3	5
597	0	0	0	600	0	0	-1	3	5
598	0	0	0	600	0	0	-1	3	5
599	0	0	0	600	0	0	-1	3	5
600	0	0	0	600	0	0	-1	3	5
601	0	0	0	600	0	0	-1	3	5
602	0	0	0	600	0	0	-1	3	5
603	0	0	0	600	0	0	-1	3	5
604	0	0	0	600	0	0	-1	3	5
605	0	0	0	600	0	0	-1	3	5
606	0	0	0	600	0	0	-1	3	5
607	0	0	0	600	0	0	-1	3	5
608	0	0	0	600	0	0	-1	3	5
609	0	0	0	600	0	0	-1	3	5
610	0	0	0	600	0	0	-1	3	5
611	0	0	0	600	0	0	-1	3	5
612	0	0	0	600	0	0	-1	3	5
613	0	0	0	600	0	0	-1	3	5
614	0	0	0	600	0	0	-1	3	5
615	0	0	0	600	0	0	-1	3	5
616	0	0	0	600	0	0	-1	3	5
617	0	0	0	600	0	0	-1	3	5
618	0	0	0	600	0	0	-1	3	5
619	0	0	0	600	0	0	-1	3	5
620	0	0	0	600	0	0	-1	3	5
621	0	0	0	600	0	0	-1	3	5
622	0	0	0	600	0	0	-1	3	5
623	0	0	0	600	0	0	-1	3	5
624	0	0	0	600	0	0	-1	3	5
625	0	0	0	600	0	0	-1	3	5
626	0	0	0	600	0	0	-1	3	5
627	0	0	0	600	0	0	-1	3	5
628	0	0	0	600	0	0	-1	3	5
629	0	0	0	600	0	0	-1	3	5
630	0	0	0	600	0	0	-1	3	5
631	0	0	0	600	0	0	-1	3	5
632	0	0	0	600	0	0	-1	3	5
633	0	1	1	600	633	0	0	3	5
634	0	1	1	600	633	0	0	3	5
635	0	1	1	600	633	0	0	3	5
636	0	1	1	600	633	0	0	3	5
637	0	1	1	600	633	0	0	3	5
638	0	1	1	600	633	0	0	3	5
639	0	1	1	600	633	0	0	3	5
640	0	1	1	600	633	0	0	3	5
641	0	1	1	600	633	0	0	3	5
642	0	1	1	600	633	0	0	3	5
643	0	1	1	600	633	0	0	3	5
644	0	1	1	600	633	0	0	3	5
645	0	1	1	600	633	0	0	3	5
646	0	1	1	600	633	0	0	3	5
647	0	1	1	600	633	0	0	3	5
648	0	1	1	600	633	0	0	3	5
649	0	1	1	600	633	0	0	3	5
650	0	1	1	600	633	0	0	3	5
651	0	1	1	600	633	0	0	3	5
652	0	1	1	600	633	0	0	3	5
653	0	1	1	600	633	0	0	3	5
654	0	1	1	600	633	0	0	3	5
655	0	1	1	600	633	0	0	3	5
656	0	1	1	600	633	0	0	3	5
657	0	1	1	600	633	0	0	3	5
658	0	1	1	600	633	0	0	3	5
659	0	1	1	600	633	0	0	3	5
660	0	1	1	600	633	0	0	3	5
661	0	1	1	600	633	0	0	3	5
662	0	1	1	600	633	0	0	3	5
663	0	1	1	600	633	0	0	3	5
664	0	1	1	600	633	0	0	3	5
665	0	1	1	600	633	0	0	3	5
666	0	1	1	600	633	0	0	3	5
667	0	1	1	600	633	0	0	3	5
668	0	1	1	600	633	0	0	3	5
